,Key variable: unique archived identifier,Rounded dwelling weight for 2 year Physical Survey sample,aagph1516,Tenure with vacancy,tenure4x,tenure2x,vacantx,gorEHS,region3x,govreg1
39,15160010193,461,461,housing association - occupied,4,2,1,7,3,4
40,15160010194,1310,1531,private rented - occupied,2,1,1,8,2,3
41,15160010196,287,287,housing association - occupied,4,2,1,10,3,4
42,15160010197,4186,4186,owner occupied - occupied,1,1,1,2,1,1
43,15160010198,547,556,housing association - occupied,4,2,1,2,1,1
44,15160010203,4910,4910,owner occupied - occupied,1,1,1,8,2,3
45,15160010208,681,681,housing association - occupied,4,2,1,7,3,4
46,15160010213,5744,5758,owner occupied - occupied,1,1,1,7,3,4
47,15160010217,1980,1987,owner occupied - occupied,1,1,1,6,3,2
48,15160010227,1385,1406,private rented - occupied,2,1,1,4,1,1
49,15160010228,2937,2944,owner occupied - occupied,1,1,1,7,3,4
50,15160010235,1619,1623,owner occupied - occupied,1,1,1,7,3,4
51,15160010240,458,458,local authority - occupied,3,2,1,4,1,1
52,15160010241,3121,3375,private rented - occupied,2,1,1,9,2,4
53,15160010243,562,562,housing association - occupied,4,2,1,10,3,4
54,15160010250,864,864,local authority - occupied,3,2,1,1,1,1
55,15160010252,548,548,housing association - occupied,4,2,1,7,3,4
56,15160010256,380,380,local authority - occupied,3,2,1,4,1,1
57,15160010257,2280,2289,owner occupied - occupied,1,1,1,6,3,2
58,15160010261,514,514,local authority - occupied,3,2,1,8,2,3
59,15160010267,3435,3440,owner occupied - occupied,1,1,1,9,2,4
60,15160010271,3347,3347,owner occupied - occupied,1,1,1,10,3,4
61,15160010282,2751,3216,private rented - occupied,2,1,1,8,2,3
62,15160010284,504,504,local authority - occupied,3,2,1,1,1,1
63,15160010288,2637,2637,owner occupied - occupied,1,1,1,4,1,1
64,15160010290,1728,1728,owner occupied - occupied,1,1,1,5,3,2
65,15160010293,1727,1914,private rented - occupied,2,1,1,9,2,4
66,15160010294,1668,1668,owner occupied - occupied,1,1,1,2,1,1
67,15160010296,8354,9764,private rented - occupied,2,1,1,8,2,3
68,15160010299,900,915,housing association - occupied,4,2,1,2,1,1
69,15160010302,652,652,housing association - occupied,4,2,1,1,1,1
70,15160010311,1284,1422,private rented - occupied,2,1,1,9,2,4
71,15160010313,1440,1510,private rented - occupied,2,1,1,2,1,1
72,15160010336,565,576,housing association - occupied,4,2,1,2,1,1
73,15160010337,1462,1462,owner occupied - occupied,1,1,1,5,3,2
74,15160010338,2221,2221,owner occupied - occupied,1,1,1,2,1,1
75,15160010345,3039,3047,owner occupied - occupied,1,1,1,7,3,4
76,15160010346,1275,1275,housing association - occupied,4,2,1,6,3,2
77,15160010353,2813,2813,owner occupied - occupied,1,1,1,10,3,4
78,15160010354,350,350,local authority - occupied,3,2,1,6,3,2
79,15160010362,532,532,housing association - occupied,4,2,1,9,2,4
80,15160010371,4086,4101,owner occupied - occupied,1,1,1,6,3,2
81,15160010384,374,374,local authority - occupied,3,2,1,9,2,4
82,15160010385,1158,1224,private rented - occupied,2,1,1,10,3,4
83,15160010388,2793,3052,private rented - occupied,2,1,1,6,3,2
84,15160010392,1495,1499,owner occupied - occupied,1,1,1,7,3,4
85,15160010394,854,854,local authority - occupied,3,2,1,9,2,4
86,15160010395,1983,1983,private rented - occupied,2,1,1,10,3,4
87,15160010404,2147,2150,owner occupied - occupied,1,1,1,9,2,4
88,15160010405,1097,1199,private rented - occupied,2,1,1,6,3,2
89,15160010409,1529,1531,owner occupied - occupied,1,1,1,9,2,4
90,15160010412,509,509,housing association - occupied,4,2,1,9,2,4
91,15160010420,590,590,private rented - occupied,2,1,1,5,3,2
92,15160010426,2228,2272,owner occupied - occupied,1,1,1,8,2,3
93,15160010427,7382,7382,owner occupied - occupied,1,1,1,4,1,1
94,15160010428,1424,1424,housing association - occupied,4,2,1,10,3,4
95,15160010432,1122,1122,private rented - occupied,2,1,1,1,1,1
96,15160010441,1883, ,housing association - vacant,4,2,2,6,3,2
97,15160010445,931,931,housing association - occupied,4,2,1,10,3,4
98,15160010458,4656,4656,owner occupied - occupied,1,1,1,10,3,4
99,15160010460,929,929,local authority - occupied,3,2,1,8,2,3
100,15160010464,2338,2338,owner occupied - occupied,1,1,1,5,3,2
101,15160010470,596,596,local authority - occupied,3,2,1,6,3,2
102,15160010471,4896,4896,owner occupied - occupied,1,1,1,1,1,1
103,15160010477,2750,2757,owner occupied - occupied,1,1,1,7,3,4
104,15160010490,2140,2140,owner occupied - occupied,1,1,1,5,3,2
105,15160010493,790,790,local authority - occupied,3,2,1,10,3,4
106,15160010495,369,369,local authority - occupied,3,2,1,10,3,4
107,15160010500,8121,8151,owner occupied - occupied,1,1,1,6,3,2
108,15160010502,562,562,housing association - occupied,4,2,1,1,1,1
109,15160010503,400,400,local authority - occupied,3,2,1,5,3,2
110,15160010505,4157,4157,owner occupied - occupied,1,1,1,2,1,1
111,15160010511,3323,3323,owner occupied - occupied,1,1,1,10,3,4
112,15160010515,7438,7438,owner occupied - occupied,1,1,1,2,1,1
113,15160010521,1975,1975,housing association - occupied,4,2,1,6,3,2
114,15160010525,767,850,private rented - occupied,2,1,1,9,2,4
115,15160010529,568,568,local authority - occupied,3,2,1,6,3,2
116,15160010537,1472,1476,owner occupied - occupied,1,1,1,7,3,4
117,15160010550,392,392,local authority - occupied,3,2,1,8,2,3
118,15160010551,1591,1595,owner occupied - occupied,1,1,1,7,3,4
119,15160010561,2466,2466,owner occupied - occupied,1,1,1,10,3,4
120,15160010563,3362,3362,owner occupied - occupied,1,1,1,4,1,1
121,15160010566,567,567,housing association - occupied,4,2,1,9,2,4
122,15160010567,1832,1832,owner occupied - occupied,1,1,1,1,1,1
123,15160010569,970,1039,housing association - occupied,4,2,1,4,1,1
124,15160010570,3727,3727,owner occupied - occupied,1,1,1,2,1,1
125,15160010571,5637,5637,owner occupied - occupied,1,1,1,9,2,4
126,15160010574,879,879,local authority - occupied,3,2,1,6,3,2
127,15160010577,3598,3612,owner occupied - occupied,1,1,1,6,3,2
128,15160010580,2092,2192,private rented - occupied,2,1,1,2,1,1
129,15160010584,2396,2400,owner occupied - occupied,1,1,1,9,2,4
130,15160010585,973,973,housing association - occupied,4,2,1,2,1,1
131,15160010588,1386,1408,private rented - occupied,2,1,1,4,1,1
132,15160010593,660,673,local authority - occupied,3,2,1,8,2,3
133,15160010600,778,791,housing association - occupied,4,2,1,2,1,1
134,15160010603,435,442,housing association - occupied,4,2,1,2,1,1
135,15160010608,1333,1333,owner occupied - occupied,1,1,1,1,1,1
136,15160010614,2461,2461,owner occupied - occupied,1,1,1,10,3,4
137,15160010618,2898,2898,owner occupied - occupied,1,1,1,8,2,3
138,15160010619,1042,1042,housing association - occupied,4,2,1,1,1,1
139,15160010623,1795,1795,local authority - occupied,3,2,1,7,3,4
140,15160010637,6054,6054,owner occupied - occupied,1,1,1,5,3,2
141,15160010643,664,664,local authority - occupied,3,2,1,7,3,4
142,15160010644,2951,2962,owner occupied - occupied,1,1,1,6,3,2
143,15160010661,758,758,housing association - occupied,4,2,1,2,1,1
144,15160010671,1220,1220,housing association - occupied,4,2,1,7,3,4
145,15160010677,605,605,local authority - occupied,3,2,1,6,3,2
146,15160010681,331,344,local authority - occupied,3,2,1,8,2,3
147,15160010686,7957,8013,owner occupied - occupied,1,1,1,8,2,3
148,15160010696,595,618,local authority - occupied,3,2,1,7,3,4
149,15160010699,776,792,housing association - occupied,4,2,1,2,1,1
150,15160010704,1505,1534,local authority - occupied,3,2,1,8,2,3
151,15160010706,1523, ,private rented - vacant,2,1,2,4,1,1
152,15160010716,1068,1068,private rented - occupied,2,1,1,5,3,2
153,15160010719,4534,4534,owner occupied - occupied,1,1,1,10,3,4
154,15160010724,716,716,local authority - occupied,3,2,1,4,1,1
155,15160010725,475,483,housing association - occupied,4,2,1,2,1,1
156,15160010730,3039,3046,owner occupied - occupied,1,1,1,7,3,4
157,15160010735,418,418,local authority - occupied,3,2,1,4,1,1
158,15160010738,1730, ,private rented - vacant,2,1,2,6,3,2
159,15160010742,364,364,local authority - occupied,3,2,1,7,3,4
160,15160010747,3673,3673,owner occupied - occupied,1,1,1,10,3,4
161,15160010752,2198,2198,owner occupied - occupied,1,1,1,10,3,4
162,15160010753,2126,2126,owner occupied - occupied,1,1,1,2,1,1
163,15160010759,2163,2163,owner occupied - occupied,1,1,1,5,3,2
164,15160010761,551,551,local authority - occupied,3,2,1,6,3,2
165,15160010766,2277,2277,owner occupied - occupied,1,1,1,2,1,1
166,15160010773,5930,5939,owner occupied - occupied,1,1,1,9,2,4
167,15160010779,493,493,housing association - occupied,4,2,1,7,3,4
168,15160010781,1536,1536,owner occupied - occupied,1,1,1,4,1,1
169,15160010787,2411,2417,owner occupied - occupied,1,1,1,7,3,4
170,15160010788,2850,2850,owner occupied - occupied,1,1,1,10,3,4
171,15160010789,3790,3865,private rented - occupied,2,1,1,8,2,3
172,15160010790,1823,1823,private rented - occupied,2,1,1,4,1,1
173,15160010793,585,585,local authority - occupied,3,2,1,2,1,1
174,15160010796,623,623,housing association - occupied,4,2,1,7,3,4
175,15160010797,357,363,housing association - occupied,4,2,1,2,1,1
176,15160010801,3685,3685,owner occupied - occupied,1,1,1,10,3,4
177,15160010804,651,675,housing association - occupied,4,2,1,8,2,3
178,15160010813,2716,2716,owner occupied - occupied,1,1,1,8,2,3
179,15160010816,2624,2634,owner occupied - occupied,1,1,1,6,3,2
180,15160010817,348,348,local authority - occupied,3,2,1,1,1,1
181,15160010819,2626,3069,private rented - occupied,2,1,1,8,2,3
182,15160010825,7787,7798,owner occupied - occupied,1,1,1,9,2,4
183,15160010829,8430,8430,owner occupied - occupied,1,1,1,8,2,3
184,15160010831,1979,1979,owner occupied - occupied,1,1,1,4,1,1
185,15160010840,5238,6122,private rented - occupied,2,1,1,8,2,3
186,15160010844,1367,1420,local authority - occupied,3,2,1,8,2,3
187,15160010848,1826,1826,owner occupied - occupied,1,1,1,4,1,1
188,15160010852,493,493,local authority - occupied,3,2,1,5,3,2
189,15160010856,1851,1851,owner occupied - occupied,1,1,1,4,1,1
190,15160010858,7026,7026,owner occupied - occupied,1,1,1,5,3,2
191,15160010859,1147,1147,housing association - occupied,4,2,1,9,2,4
192,15160010863,463,463,local authority - occupied,3,2,1,5,3,2
193,15160010865,2872,3357,private rented - occupied,2,1,1,8,2,3
194,15160010871,548,548,housing association - occupied,4,2,1,10,3,4
195,15160010876,1545,1545,housing association - occupied,4,2,1,6,3,2
196,15160010880,3026,3076,private rented - occupied,2,1,1,2,1,1
197,15160010885,2736,2741,owner occupied - occupied,1,1,1,9,2,4
198,15160010890,2595,2875,private rented - occupied,2,1,1,9,2,4
199,15160010894,1154,1154,owner occupied - occupied,1,1,1,5,3,2
200,15160010897,1172,1215,housing association - occupied,4,2,1,8,2,3
201,15160010898,3386,3386,owner occupied - occupied,1,1,1,4,1,1
202,15160010899,419,426,housing association - occupied,4,2,1,2,1,1
203,15160010911,2390,2390,owner occupied - occupied,1,1,1,10,3,4
204,15160010915,1520,1660,private rented - occupied,2,1,1,6,3,2
205,15160010917,2337,2337,owner occupied - occupied,1,1,1,5,3,2
206,15160010919,520,529,housing association - occupied,4,2,1,2,1,1
207,15160010921,2498,2498,owner occupied - occupied,1,1,1,10,3,4
208,15160010928,3989,4004,owner occupied - occupied,1,1,1,6,3,2
209,15160010931,3644, ,private rented - vacant,2,1,2,10,3,4
210,15160010942,513,513,local authority - occupied,3,2,1,9,2,4
211,15160010945,2395,2395,owner occupied - occupied,1,1,1,5,3,2
212,15160010952,411,411,housing association - occupied,4,2,1,9,2,4
213,15160010955,812,842,local authority - occupied,3,2,1,7,3,4
214,15160010961,847,847,housing association - occupied,4,2,1,5,3,2
215,15160010962,2184,2553,private rented - occupied,2,1,1,8,2,3
216,15160010966,4781,4799,owner occupied - occupied,1,1,1,6,3,2
217,15160010967,1027,1076,private rented - occupied,2,1,1,2,1,1
218,15160010969,1041, ,housing association - vacant,4,2,2,9,2,4
219,15160010978,593,604,housing association - occupied,4,2,1,2,1,1
220,15160010980,4154,4161,owner occupied - occupied,1,1,1,9,2,4
221,15160010982,1548,1903,private rented - occupied,2,1,1,8,2,3
222,15160010992,664,664,housing association - occupied,4,2,1,2,1,1
223,15160010993,2004,2004,owner occupied - occupied,1,1,1,10,3,4
224,15160010996,1573,1579,owner occupied - occupied,1,1,1,6,3,2
225,15160011000,362,366,housing association - occupied,4,2,1,5,3,2
226,15160011003,962,1015,private rented - occupied,2,1,1,7,3,4
227,15160011010,771,780,housing association - occupied,4,2,1,5,3,2
228,15160011011,1203,1269,private rented - occupied,2,1,1,7,3,4
229,15160011013,1041,1041,housing association - occupied,4,2,1,2,1,1
230,15160011014,2005,2005,owner occupied - occupied,1,1,1,8,2,3
231,15160011015,3080,3080,local authority - occupied,3,2,1,8,2,3
232,15160011025,787,787,housing association - occupied,4,2,1,6,3,2
233,15160011026,2501,2501,owner occupied - occupied,1,1,1,8,2,3
234,15160011027,563,563,local authority - occupied,3,2,1,4,1,1
235,15160011031,759,759,local authority - occupied,3,2,1,6,3,2
236,15160011033,4162,4178,owner occupied - occupied,1,1,1,6,3,2
237,15160011038,1041,1041,local authority - occupied,3,2,1,2,1,1
238,15160011044,8097,8097,owner occupied - occupied,1,1,1,10,3,4
239,15160011047,568,568,local authority - occupied,3,2,1,5,3,2
240,15160011048,563,570,housing association - occupied,4,2,1,5,3,2
241,15160011063,2732,2732,owner occupied - occupied,1,1,1,10,3,4
242,15160011069,761,761,local authority - occupied,3,2,1,5,3,2
243,15160011076,1500,1511,owner occupied - occupied,1,1,1,8,2,3
244,15160011078,1964,1964,owner occupied - occupied,1,1,1,8,2,3
245,15160011079,2070,2076,owner occupied - occupied,1,1,1,7,3,4
246,15160011088,2851,2858,owner occupied - occupied,1,1,1,7,3,4
247,15160011094,2305,2314,owner occupied - occupied,1,1,1,6,3,2
248,15160011100,2315,2321,owner occupied - occupied,1,1,1,7,3,4
249,15160011110,2146,2146,owner occupied - occupied,1,1,1,4,1,1
250,15160011111,5627,5627,owner occupied - occupied,1,1,1,7,3,4
251,15160011114,3417,3695,private rented - occupied,2,1,1,9,2,4
252,15160011115,1922,1922,housing association - occupied,4,2,1,7,3,4
253,15160011122,690,690,housing association - occupied,4,2,1,9,2,4
254,15160011136,2978,2978,owner occupied - occupied,1,1,1,8,2,3
255,15160011139,499,499,housing association - occupied,4,2,1,9,2,4
256,15160011144,338,338,housing association - occupied,4,2,1,7,3,4
257,15160011151,2054,2054,owner occupied - occupied,1,1,1,2,1,1
258,15160011153,6413,6413,owner occupied - occupied,1,1,1,8,2,3
259,15160011155,1370,1375,owner occupied - occupied,1,1,1,6,3,2
260,15160011158,741,754,housing association - occupied,4,2,1,2,1,1
261,15160011161,2168,2171,owner occupied - occupied,1,1,1,9,2,4
262,15160011163,523,523,housing association - occupied,4,2,1,10,3,4
263,15160011175,905,905,local authority - occupied,3,2,1,1,1,1
264,15160011179,1471,1473,owner occupied - occupied,1,1,1,9,2,4
265,15160011184,2540,2547,owner occupied - occupied,1,1,1,7,3,4
266,15160011189,866,915,private rented - occupied,2,1,1,10,3,4
267,15160011190,295,295,local authority - occupied,3,2,1,4,1,1
268,15160011197,8799,8799,owner occupied - occupied,1,1,1,1,1,1
269,15160011199,4101, ,owner occupied - vacant,1,1,2,9,2,4
270,15160011202,1207,1207,housing association - occupied,4,2,1,8,2,3
271,15160011208,1016,1033,private rented - occupied,2,1,1,2,1,1
272,15160011215,500,500,housing association - occupied,4,2,1,4,1,1
273,15160011216,1112,1112,local authority - occupied,3,2,1,6,3,2
274,15160011217,859,905,private rented - occupied,2,1,1,7,3,4
275,15160011218,2225,2231,owner occupied - occupied,1,1,1,7,3,4
276,15160011221,1609,1615,owner occupied - occupied,1,1,1,6,3,2
277,15160011224,2406,2415,owner occupied - occupied,1,1,1,6,3,2
278,15160011228,339,339,local authority - occupied,3,2,1,5,3,2
279,15160011229,1884,1884,owner occupied - occupied,1,1,1,10,3,4
280,15160011230,469,469,housing association - occupied,4,2,1,7,3,4
281,15160011234,2853,2853,owner occupied - occupied,1,1,1,10,3,4
282,15160011237,1595,1595,owner occupied - occupied,1,1,1,5,3,2
283,15160011240,404,404,housing association - occupied,4,2,1,6,3,2
284,15160011246,1685,1685,private rented - occupied,2,1,1,5,3,2
285,15160011247,961,1065,private rented - occupied,2,1,1,9,2,4
286,15160011257,481,490,local authority - occupied,3,2,1,8,2,3
287,15160011259,2096,2096,owner occupied - occupied,1,1,1,2,1,1
288,15160011260,4255,4266,owner occupied - occupied,1,1,1,7,3,4
289,15160011267,354,354,local authority - occupied,3,2,1,5,3,2
290,15160011268,2202,2202,owner occupied - occupied,1,1,1,4,1,1
291,15160011273,3466,3466,owner occupied - occupied,1,1,1,10,3,4
292,15160011275,611,624,local authority - occupied,3,2,1,8,2,3
293,15160011276,2411,2411,housing association - occupied,4,2,1,2,1,1
294,15160011277,1136,1136,housing association - occupied,4,2,1,10,3,4
295,15160011294,1009,1066,private rented - occupied,2,1,1,10,3,4
296,15160011299,949,985,local authority - occupied,3,2,1,7,3,4
297,15160011303,3742,3742,owner occupied - occupied,1,1,1,5,3,2
298,15160011311,1484,1484,housing association - occupied,4,2,1,2,1,1
299,15160011318,434,440,housing association - occupied,4,2,1,5,3,2
300,15160011322,1889,1889,owner occupied - occupied,1,1,1,10,3,4
301,15160011324,2690,2690,owner occupied - occupied,1,1,1,10,3,4
302,15160011333,583,583,local authority - occupied,3,2,1,6,3,2
303,15160011337,2034,2066,private rented - occupied,2,1,1,4,1,1
304,15160011338,2173,2176,owner occupied - occupied,1,1,1,9,2,4
305,15160011339,985,1022,housing association - occupied,4,2,1,8,2,3
306,15160011340,693,705,housing association - occupied,4,2,1,2,1,1
307,15160011341,2425,2425,owner occupied - occupied,1,1,1,4,1,1
308,15160011345,643,654,housing association - occupied,4,2,1,2,1,1
309,15160011360,960,1013,private rented - occupied,2,1,1,7,3,4
310,15160011366,523,523,housing association - occupied,4,2,1,9,2,4
311,15160011380,1193,1259,private rented - occupied,2,1,1,7,3,4
312,15160011381,2179,2179,owner occupied - occupied,1,1,1,10,3,4
313,15160011382,5424,5432,owner occupied - occupied,1,1,1,9,2,4
314,15160011389,1632,1632,owner occupied - occupied,1,1,1,4,1,1
315,15160011392,667,667,local authority - occupied,3,2,1,8,2,3
316,15160011395,590,600,housing association - occupied,4,2,1,2,1,1
317,15160011400,1504,1504,owner occupied - occupied,1,1,1,4,1,1
318,15160011401,2246,2284,private rented - occupied,2,1,1,2,1,1
319,15160011409,3250,3254,owner occupied - occupied,1,1,1,9,2,4
320,15160011410,478,478,local authority - occupied,3,2,1,5,3,2
321,15160011420,528,528,local authority - occupied,3,2,1,1,1,1
322,15160011430,3504,3504,owner occupied - occupied,1,1,1,8,2,3
323,15160011432,4163,4163,owner occupied - occupied,1,1,1,5,3,2
324,15160011436,635,635,housing association - occupied,4,2,1,7,3,4
325,15160011437,1796,1800,owner occupied - occupied,1,1,1,7,3,4
326,15160011442,859,859,local authority - occupied,3,2,1,5,3,2
327,15160011451,520,529,housing association - occupied,4,2,1,2,1,1
328,15160011452,1677,1677,owner occupied - occupied,1,1,1,4,1,1
329,15160011453,1802,1805,owner occupied - occupied,1,1,1,9,2,4
330,15160011456,602,612,private rented - occupied,2,1,1,7,3,4
331,15160011462,3026,3191,private rented - occupied,2,1,1,7,3,4
332,15160011467,669,693,housing association - occupied,4,2,1,8,2,3
333,15160011479,518,518,housing association - occupied,4,2,1,6,3,2
334,15160011481,734,734,local authority - occupied,3,2,1,9,2,4
335,15160011482,426,426,local authority - occupied,3,2,1,4,1,1
336,15160011486,4729,4903,housing association - occupied,4,2,1,8,2,3
337,15160011493,2879,2879,local authority - occupied,3,2,1,5,3,2
338,15160011494,887,887,local authority - occupied,3,2,1,10,3,4
339,15160011497,766,941,private rented - occupied,2,1,1,8,2,3
340,15160011507,1602,1608,owner occupied - occupied,1,1,1,6,3,2
341,15160011509,964,966,owner occupied - occupied,1,1,1,7,3,4
342,15160011510,640,640,housing association - occupied,4,2,1,7,3,4
343,15160011513,1548,1548,local authority - occupied,3,2,1,5,3,2
344,15160011515,927,927,local authority - occupied,3,2,1,8,2,3
345,15160011521,5992,5992,owner occupied - occupied,1,1,1,9,2,4
346,15160011528,440,440,local authority - occupied,3,2,1,6,3,2
347,15160011529,3435,3435,owner occupied - occupied,1,1,1,2,1,1
348,15160011531,2998,2998,owner occupied - occupied,1,1,1,2,1,1
349,15160011542,533,533,local authority - occupied,3,2,1,6,3,2
350,15160011547,825,825,local authority - occupied,3,2,1,4,1,1
351,15160011553,824,824,housing association - occupied,4,2,1,2,1,1
352,15160011558,358,358,local authority - occupied,3,2,1,5,3,2
353,15160011559,1530,1586,housing association - occupied,4,2,1,8,2,3
354,15160011561,625,625,housing association - occupied,4,2,1,9,2,4
355,15160011563,650,650,local authority - occupied,3,2,1,9,2,4
356,15160011567,2334,2334,owner occupied - occupied,1,1,1,7,3,4
357,15160011568,419,419,housing association - occupied,4,2,1,7,3,4
358,15160011572,3170,3170,owner occupied - occupied,1,1,1,10,3,4
359,15160011573,1090,1090,private rented - occupied,2,1,1,5,3,2
360,15160011577,2327,2336,owner occupied - occupied,1,1,1,6,3,2
361,15160011578,1747,1747,owner occupied - occupied,1,1,1,2,1,1
362,15160011579,493,493,housing association - occupied,4,2,1,1,1,1
363,15160011580,529,535,housing association - occupied,4,2,1,5,3,2
364,15160011586,4034,4034,owner occupied - occupied,1,1,1,10,3,4
365,15160011587,1706,1706,owner occupied - occupied,1,1,1,4,1,1
366,15160011589,5290,5290,owner occupied - occupied,1,1,1,10,3,4
367,15160011591,1188,1188,local authority - occupied,3,2,1,5,3,2
368,15160011595,3308,3313,owner occupied - occupied,1,1,1,9,2,4
369,15160011598,926,926,local authority - occupied,3,2,1,9,2,4
370,15160011608,1501,1501,private rented - occupied,2,1,1,5,3,2
371,15160011610,2710,2710,owner occupied - occupied,1,1,1,10,3,4
372,15160011612,2107,2107,housing association - occupied,4,2,1,9,2,4
373,15160011615,1564,1564,owner occupied - occupied,1,1,1,9,2,4
374,15160011616,1152,1246,private rented - occupied,2,1,1,9,2,4
375,15160011618,3534,3534,local authority - occupied,3,2,1,10,3,4
376,15160011637,4332,4569,private rented - occupied,2,1,1,7,3,4
377,15160011638,850,850,housing association - occupied,4,2,1,6,3,2
378,15160011648,1091,1109,private rented - occupied,2,1,1,2,1,1
379,15160011652,1079,1195,private rented - occupied,2,1,1,9,2,4
380,15160011657,3093,3097,owner occupied - occupied,1,1,1,9,2,4
381,15160011660,2036,2039,owner occupied - occupied,1,1,1,9,2,4
382,15160011664,822,822,housing association - occupied,4,2,1,7,3,4
383,15160011668,3025,3025,owner occupied - occupied,1,1,1,1,1,1
384,15160011676,513,532,local authority - occupied,3,2,1,7,3,4
385,15160011679,494,502,housing association - occupied,4,2,1,2,1,1
386,15160011685,400,400,local authority - occupied,3,2,1,4,1,1
387,15160011688,1553,1553,owner occupied - occupied,1,1,1,2,1,1
388,15160011694,859,859,private rented - occupied,2,1,1,1,1,1
389,15160011696,620,620,housing association - occupied,4,2,1,9,2,4
390,15160011697,414,414,local authority - occupied,3,2,1,4,1,1
391,15160011704,1385,1387,owner occupied - occupied,1,1,1,9,2,4
392,15160011708,1035,1272,private rented - occupied,2,1,1,8,2,3
393,15160011712,2306,2306,owner occupied - occupied,1,1,1,10,3,4
394,15160011715,2030,2030,owner occupied - occupied,1,1,1,8,2,3
395,15160011716,3052,3060,owner occupied - occupied,1,1,1,7,3,4
396,15160011722,5008,5008,owner occupied - occupied,1,1,1,10,3,4
397,15160011723,661,661,housing association - occupied,4,2,1,7,3,4
398,15160011725,896,993,private rented - occupied,2,1,1,9,2,4
399,15160011727,2774,2774,owner occupied - occupied,1,1,1,10,3,4
400,15160011728,3116,3116,private rented - occupied,2,1,1,1,1,1
401,15160011733,545,553,private rented - occupied,2,1,1,4,1,1
402,15160011736,3066,3066,owner occupied - occupied,1,1,1,9,2,4
403,15160011743,2912,2961,private rented - occupied,2,1,1,2,1,1
404,15160011748,587,587,housing association - occupied,4,2,1,7,3,4
405,15160011749,531,531,housing association - occupied,4,2,1,1,1,1
406,15160011753,710,722,housing association - occupied,4,2,1,2,1,1
407,15160011754,2309,2312,owner occupied - occupied,1,1,1,9,2,4
408,15160011759,551,551,housing association - occupied,4,2,1,9,2,4
409,15160011760,5904,5927,owner occupied - occupied,1,1,1,10,3,4
410,15160011763,1260,1260,housing association - occupied,4,2,1,4,1,1
411,15160011767,523,523,housing association - occupied,4,2,1,6,3,2
412,15160011775,2034,2034,owner occupied - occupied,1,1,1,2,1,1
413,15160011776,9860, ,private rented - vacant,2,1,2,7,3,4
414,15160011777,1881,1910,private rented - occupied,2,1,1,4,1,1
415,15160011782,458,458,housing association - occupied,4,2,1,10,3,4
416,15160011791,1857,1857,owner occupied - occupied,1,1,1,5,3,2
417,15160011793,2130,2130,local authority - occupied,3,2,1,8,2,3
